Titulo,Endereço,Aluguel,Area,Descricao
Sala Comercial,Vila Larsen 1 Londrina - PR,"R$ 1.900,00",165m²,"165m² útil ,2 banheiros"
Sala Comercial,Parque Residencial Joao Piza Londrina - PR,"R$ 1.870,00",100m²,"1 sala ,1 banheiro ,100m² útil"
Casa em Condomínio,Conjunto Habitacional Santiago II Londrina - PR,"R$ 1.800,00",140m²,"140m² útil ,3 quartossendo 1 suíte ,2 banheiros ,2 vagas"
Rural,Parque Nacional Londrina - PR,"R$ 2.000,00",320m²,"320m² útil ,3.800m² total"
Sala Comercial,Centro Londrina - PR,"R$ 1.650,00",97m²,"2 salas ,2 banheiros ,97m² total ,74m² útil"
Apartamento,Andrade Londrina - PR,"R$ 1.650,00",55m²,"55m² útil ,3 quartos ,1 banheiro ,1 vaga ,70m² total"
Casa Residencial,Cafezal Londrina - PR,"R$ 1.600,00",140m²,"140m² útil ,3 quartossendo 1 suíte ,2 banheiros ,2 vagas"
Sala Comercial,Vila Shimabokuro Londrina - PR,"R$ 1.600,00",60m²,"2 salas ,2 banheiros ,Sem vaga ,60m² útil"
Sala Comercial,Jardim Londrilar Londrina - PR,"R$ 1.600,00",42m²,"1 sala ,2 banheiros ,1 vaga ,42m² útil"
Sala Comercial,Jardim Londrilar Londrina - PR,"R$ 1.600,00",42m²,"1 sala ,2 banheiros ,1 vaga ,42m² útil"
Sala Comercial,Centro Londrina - PR,"R$ 1.500,00",225m²,"1 sala ,1 banheiro ,Sem vaga ,225m² útil"
Sala Comercial,Centro Londrina - PR,"R$ 1.500,00",225m²,"1 sala ,1 banheiro ,Sem vaga ,225m² útil"
Sala Comercial,Waldemar Hauer Londrina - PR,"R$ 1.500,00",100m²,"100m² útil ,1 banheiro"
Sala Comercial,Centro Londrina - PR,"R$ 1.500,00",72m²,"1 sala ,1 banheiro ,2 vagas ,72m² total ,60m² útil"
Sala Comercial,Centro Londrina - PR,"R$ 1.500,00",63m²,"1 sala ,Sem vaga ,63m² útil"
Terreno,Jardim Maria Celina Londrina - PR,"R$ 1.500,00",360m²,360m² total
Casa Residencial,Jardim Honda 2 Londrina - PR,"R$ 1.390,00",70m²,"70m² útil ,2 quartos ,1 banheiro ,1 vaga"
Casa Residencial,Vila Matarazzo Londrina - PR,"R$ 1.350,00",100m²,"100m² total ,3 quartos ,1 banheiro ,3 vagas"
Casa Residencial,Centro Londrina - PR,"R$ 1.350,00",150m²,"150m² útil ,3 quartos ,1 banheiro ,Sim ,150m² total"
Apartamento,Claudia Londrina - PR,"R$ 1.350,00",56m²,"56m² útil ,2 quartos ,1 banheiro ,1 vaga ,76m² total"
Apartamento,Jardim Morumbi Londrina - PR,"R$ 1.300,00",75m²,"75m² útil ,3 quartossendo 1 suíte ,2 banheiros ,1 vaga ,96m² total"
Casa Residencial,Recreio Londrina - PR,"R$ 1.300,00",90m²,"90m² útil ,4 quartos ,2 banheiros ,Sim ,201m² total"
Apartamento,Jardim Joquei Club Londrina - PR,"R$ 1.290,00",46m²,"46m² útil ,2 quartos ,1 banheiro ,1 vaga"
Casa Residencial,Jardim Neman Sahyun Londrina - PR,"R$ 1.200,00",80m²,"80m² útil ,3 quartos ,1 banheiro ,Sim ,500m² total"
Casa Residencial,Jardim Roma Londrina - PR,"R$ 1.200,00",72m²,"72m² útil ,3 quartos ,1 banheiro ,Sim"
Casa Residencial,Parque Residencial Joao Piza Londrina - PR,"R$ 1.200,00",100m²,"100m² útil ,3 quartossendo 1 suíte ,2 banheiros ,Sim"
Sala Comercial,Ouro Branco Londrina - PR,"R$ 1.200,00",30m²,"1 sala ,1 banheiro ,30m² útil"
Sala Comercial,Centro Londrina - PR,"R$ 1.200,00",83m²,"1 sala ,2 banheiros ,1 vaga ,83m² total ,50m² útil"
Terreno,Jardim Londrilar Londrina - PR,"R$ 1.200,00",360m²,360m² total
Terreno,Lindoia Londrina - PR,"R$ 1.200,00",2.400m²,2.400m² total
Kitinet,Centro Londrina - PR,"R$ 1.150,00",35m²,"35m² útil ,1 quarto ,1 banheiro ,35m² total"
Kitinet,Centro Londrina - PR,"R$ 1.150,00",35m²,"35m² útil ,1 quarto ,1 banheiro ,35m² total"
Sala Comercial,Igapo Londrina - PR,"de: R$1.250,00por: R$1.100,00",30m²,"30m² útil ,1 banheiro"
Apartamento,Vila Larsen 1 Londrina - PR,"R$ 1.100,00",79m²,"79m² útil ,2 quartossendo 1 suíte ,2 banheiros ,1 vaga ,95m² total"
Apartamento,Centro Londrina - PR,"R$ 1.100,00",100m²,"100m² útil ,3 quartossendo 1 suíte ,2 banheiros ,1 vaga ,159m² total"
Apartamento,Conjunto Habitacional Joao Turquino Londrina - PR,"R$ 1.100,00",52m²,"52m² útil ,2 quartos ,1 banheiro ,1 vaga"
Apartamento,Nova Olinda Londrina - PR,"R$ 1.100,00",45m²,"45m² útil ,2 quartos ,1 banheiro ,1 vaga"
Apartamento,Vila Filipin Londrina - PR,"R$ 1.050,00",52m²,"52m² útil ,2 quartossendo 1 suíte ,2 banheiros ,1 vaga"
Casa Residencial,Jardim Sao Tomas Londrina - PR,"R$ 1.000,00",84m²,"84m² útil ,3 quartossendo 1 suíte ,2 banheiros ,Sim"
Sala Comercial,Centro Londrina - PR,"R$ 1.000,00",90m²,"1 sala ,2 banheiros ,90m² útil"
Sala Comercial,Vale dos Tucanos Londrina - PR,"R$ 1.000,00",37m²,"1 sala ,37m² útil"
Apartamento,Igapo Londrina - PR,"R$ 1.000,00",52m²,"52m² útil ,2 quartos ,1 banheiro ,1 vaga"
Casa Residencial,Lago Parque Londrina - PR,"R$ 1.000,00",80m²,"80m² útil ,2 quartos ,1 banheiro ,Sim"
Apartamento,Novo Bandeirantes Cambe - PR,"R$ 1.000,00",95m²,"95m² útil ,4 quartossendo 1 suíte ,2 banheiros ,Sim"
Casa Residencial,Alpes Londrina - PR,"de: R$1.200,00por: R$1.000,00",84m²,"84m² útil ,3 quartos ,1 banheiro ,Sim"
Sala Comercial,Conjunto Vivi Xavier Londrina - PR,"de: R$1.200,00por: R$1.000,00",,
Rural,Nova Londrina Londrina - PR,"R$ 1.000,00",1.400m²,"1.400m² útil ,1.400m² total"
Casa Residencial,Centro Londrina - PR,"R$ 1.000,00",60m²,"60m² total ,2 quartos ,1 banheiro ,Sim"
Sala Comercial,Vila Casoni Londrina - PR,"R$ 1.000,00",50m²,"1 sala ,1 banheiro ,50m² útil"
Sala Comercial,Centro Londrina - PR,"de: R$1.800,00por: R$1.000,00",95m²,"3 salas ,2 banheiros ,2 vagas ,95m² total ,74m² útil"
Sala Comercial,Jardim Sao Tomas Londrina - PR,"R$ 1.000,00",110m²,"1 sala ,2 banheiros ,110m² útil"
Kitinet,Centro Londrina - PR,"R$ 980,00",35m²,"35m² útil ,1 quarto ,1 banheiro ,35m² total"
Sala Comercial,Centro Londrina - PR,"R$ 950,00",63m²,"1 sala ,1 vaga ,63m² útil"
Apartamento,Portal de Versalhes 1 Londrina - PR,"R$ 950,00",53m²,"53m² útil ,2 quartos ,1 banheiro ,1 vaga"
